head,relation,tail
角色_X教授,rdfsyntaxnstype,角色
作品_《X战警：未来昔日》,rdfsyntaxnstype,作品
角色_X教授,relation_出现,作品_《X战警：天启》
角色_X教授,rdfsyntaxnstype,角色
作品_《X战警：天启》,rdfsyntaxnstype,作品
演员_崔克·史都华,relation_饰演,角色_X教授
演员_崔克·史都华,rdfsyntaxnstype,演员
角色_X教授,rdfsyntaxnstype,角色
演员_詹姆斯·麦艾维,relation_饰演,角色_X教授
演员_詹姆斯·麦艾维,rdfsyntaxnstype,演员
角色_X教授,rdfsyntaxnstype,角色
角色_菲尔·科尔森,relation_属于,机构_国土战略防御攻击与后勤保障局
角色_菲尔·科尔森,rdfsyntaxnstype,角色
机构_国土战略防御攻击与后勤保障局,rdfsyntaxnstype,机构
角色_菲尔·科尔森,relation_朋友,角色_尼克·弗瑞
角色_菲尔·科尔森,rdfsyntaxnstype,角色
角色_尼克·弗瑞,rdfsyntaxnstype,角色
角色_菲尔·科尔森,relation_属于,机构_神盾局
角色_菲尔·科尔森,rdfsyntaxnstype,角色
机构_神盾局,rdfsyntaxnstype,机构
角色_菲尔·科尔森,relation_从事,职业_局长
角色_菲尔·科尔森,rdfsyntaxnstype,角色
职业_局长,rdfsyntaxnstype,职业
角色_菲丽西娅·哈代,relation_出现,作品_《蜘蛛侠：暗影之网》
角色_菲丽西娅·哈代,rdfsyntaxnstype,角色
作品_《蜘蛛侠：暗影之网》,rdfsyntaxnstype,作品
角色_菲丽西娅·哈代,relation_代号,称号_黑猫
角色_菲丽西娅·哈代,rdfsyntaxnstype,角色
称号_黑猫,rdfsyntaxnstype,称号
角色_菲丽西娅·哈代,relation_从事,职业_职业小偷
角色_菲丽西娅·哈代,rdfsyntaxnstype,角色
职业_职业小偷,rdfsyntaxnstype,职业
角色_菲丽西娅·哈代,relation_拥有,能力_超人的平衡力、灵活性和力量，以及丰富的徒手格斗经验
角色_菲丽西娅·哈代,rdfsyntaxnstype,角色
能力_超人的平衡力、灵活性和力量，以及丰富的徒手格斗经验,rdfsyntaxnstype,能力
角色_菲丽西娅·哈代,relation_对抗,角色_彼得·帕克
角色_菲丽西娅·哈代,rdfsyntaxnstype,角色
角色_彼得·帕克,rdfsyntaxnstype,角色
角色_菲丽西娅·哈代,relation_爱上,角色_彼得·帕克
角色_菲丽西娅·哈代,rdfsyntaxnstype,角色
角色_彼得·帕克,rdfsyntaxnstype,角色
角色_汪达·马克希莫夫,relation_代号,称号_绯红女巫
角色_汪达·马克希莫夫,rdfsyntaxnstype,角色
称号_绯红女巫,rdfsyntaxnstype,称号
角色_汪达·马克希莫夫,relation_兄弟姐妹,角色_皮特洛·马克希莫夫
角色_汪达·马克希莫夫,rdfsyntaxnstype,角色
角色_皮特洛·马克希莫夫,rdfsyntaxnstype,角色
角色_汪达·马克希莫夫,relation_属于,团队_九头蛇
角色_汪达·马克希莫夫,rdfsyntaxnstype,角色
团队_九头蛇,rdfsyntaxnstype,团队
角色_汪达·马克希莫夫,relation_拥有,能力_操纵幻像魔法及混沌魔法作为攻击
角色_汪达·马克希莫夫,rdfsyntaxnstype,角色
能力_操纵幻像魔法及混沌魔法作为攻击,rdfsyntaxnstype,能力
角色_汪达·马克希莫夫,relation_拥有,能力_远端操纵他人脑部的能力和心灵输送
角色_汪达·马克希莫夫,rdfsyntaxnstype,角色
能力_远端操纵他人脑部的能力和心灵输送,rdfsyntaxnstype,能力
角色_洛基,relation_持有,装备_齐塔瑞权杖
角色_洛基,rdfsyntaxnstype,角色
装备_齐塔瑞权杖,rdfsyntaxnstype,装备
角色_汪达·马克希莫夫,relation_朋友,角色_洛基
角色_汪达·马克希莫夫,rdfsyntaxnstype,角色
角色_洛基,rdfsyntaxnstype,角色
角色_奥创,relation_朋友,角色_汪达·马克希莫夫
角色_奥创,rdfsyntaxnstype,角色
角色_汪达·马克希莫夫,rdfsyntaxnstype,角色
角色_汪达·马克希莫夫,relation_属于,团队_复仇者联盟
角色_汪达·马克希莫夫,rdfsyntaxnstype,角色
团队_复仇者联盟,rdfsyntaxnstype,团队
角色_汪达·马克希莫夫,relation_对抗,角色_奥创
角色_汪达·马克希莫夫,rdfsyntaxnstype,角色
角色_奥创,rdfsyntaxnstype,角色
角色_汪达·马克希莫夫,relation_配偶,角色_幻视
角色_汪达·马克希莫夫,rdfsyntaxnstype,角色
角色_幻视,rdfsyntaxnstype,角色
角色_恩巴库,relation_来自,地点_瓦坎达
角色_恩巴库,rdfsyntaxnstype,角色
地点_瓦坎达,rdfsyntaxnstype,地点
角色_恩巴库,relation_去过,地点_瓦坎达
角色_恩巴库,rdfsyntaxnstype,角色
地点_瓦坎达,rdfsyntaxnstype,地点
角色_恩巴库,relation_从事,职业_部族的领导人
角色_恩巴库,rdfsyntaxnstype,角色
职业_部族的领导人,rdfsyntaxnstype,职业
角色_特查拉,relation_对抗,角色_恩巴库
角色_特查拉,rdfsyntaxnstype,角色
角色_恩巴库,rdfsyntaxnstype,角色
角色_特查拉,relation_代号,称号_黑豹
角色_特查拉,rdfsyntaxnstype,角色
称号_黑豹,rdfsyntaxnstype,称号
角色_恩巴库,relation_出现,作品_《黑豹》
角色_恩巴库,rdfsyntaxnstype,角色
作品_《黑豹》,rdfsyntaxnstype,作品
演员_温斯顿·杜克,relation_饰演,角色_恩巴库
演员_温斯顿·杜克,rdfsyntaxnstype,演员
角色_恩巴库,rdfsyntaxnstype,角色
演员_尼可拉斯凯吉,relation_饰演,角色_强尼·布雷泽
演员_尼可拉斯凯吉,rdfsyntaxnstype,演员
角色_强尼·布雷泽,rdfsyntaxnstype,角色
角色_强尼·布雷泽,relation_持有,装备_燃烧着的摩托车
角色_强尼·布雷泽,rdfsyntaxnstype,角色
装备_燃烧着的摩托车,rdfsyntaxnstype,装备
角色_强尼·布雷泽,relation_持有,装备_皮衣
角色_强尼·布雷泽,rdfsyntaxnstype,角色
装备_皮衣,rdfsyntaxnstype,装备
角色_强尼·布雷泽,relation_持有,装备_铁链
角色_强尼·布雷泽,rdfsyntaxnstype,角色
装备_铁链,rdfsyntaxnstype,装备
角色_强尼·布雷泽,relation_拥有,能力_不死之身和各种魔幻力量
角色_强尼·布雷泽,rdfsyntaxnstype,角色
能力_不死之身和各种魔幻力量,rdfsyntaxnstype,能力
角色_强尼·布雷泽,relation_拥有,能力_只能在晚间变身
角色_强尼·布雷泽,rdfsyntaxnstype,角色
能力_只能在晚间变身,rdfsyntaxnstype,能力
角色_强尼·布雷泽,relation_拥有,能力_白天虽有不死之身但不能使用神奇力量
角色_强尼·布雷泽,rdfsyntaxnstype,角色
能力_白天虽有不死之身但不能使用神奇力量,rdfsyntaxnstype,能力
角色_强尼·布雷泽,relation_拥有,能力_可在白天变身，但威力会减弱
角色_强尼·布雷泽,rdfsyntaxnstype,角色
能力_可在白天变身，但威力会减弱,rdfsyntaxnstype,能力
角色_强尼·布雷泽,relation_从事,职业_摩托车特技巨星
角色_强尼·布雷泽,rdfsyntaxnstype,角色
职业_摩托车特技巨星,rdfsyntaxnstype,职业
角色_强尼·布雷泽,relation_代号,称号_恶灵骑士
角色_强尼·布雷泽,rdfsyntaxnstype,角色
称号_恶灵骑士,rdfsyntaxnstype,称号
角色_强尼·布雷泽,relation_配偶,角色_洛珊
角色_强尼·布雷泽,rdfsyntaxnstype,角色
角色_洛珊,rdfsyntaxnstype,角色
角色_妮娜·舒曼,relation_从事,职业_雇佣兵
角色_妮娜·舒曼,rdfsyntaxnstype,角色
职业_雇佣兵,rdfsyntaxnstype,职业
角色_妮娜·舒曼,relation_属于,物种_变种人
角色_妮娜·舒曼,rdfsyntaxnstype,角色
物种_变种人,rdfsyntaxnstype,物种
角色_妮娜·舒曼,relation_代号,称号_多米诺
角色_妮娜·舒曼,rdfsyntaxnstype,角色
称号_多米诺,rdfsyntaxnstype,称号
角色_妮娜·舒曼,relation_拥有,能力_操纵运气的变种能力
角色_妮娜·舒曼,rdfsyntaxnstype,角色
能力_操纵运气的变种能力,rdfsyntaxnstype,能力
角色_妮娜·舒曼,relation_出现,作品_《死侍2》
角色_妮娜·舒曼,rdfsyntaxnstype,角色
作品_《死侍2》,rdfsyntaxnstype,作品
演员_萨琪·毕兹,relation_饰演,角色_妮娜·舒曼
演员_萨琪·毕兹,rdfsyntaxnstype,演员
角色_妮娜·舒曼,rdfsyntaxnstype,角色
角色_毒液,relation_出现,作品_《神奇蜘蛛侠》
角色_毒液,rdfsyntaxnstype,角色
作品_《神奇蜘蛛侠》,rdfsyntaxnstype,作品
角色_毒液,relation_属于,物种_单细胞生物
角色_毒液,rdfsyntaxnstype,角色
物种_单细胞生物,rdfsyntaxnstype,物种
角色_毒液,relation_来自,地点_遥远未知星球
角色_毒液,rdfsyntaxnstype,角色
地点_遥远未知星球,rdfsyntaxnstype,地点
角色_毒液,relation_去过,地点_遥远未知星球
角色_毒液,rdfsyntaxnstype,角色
地点_遥远未知星球,rdfsyntaxnstype,地点
角色_毒液,relation_拥有,能力_需要与一个生物结合才可生存
角色_毒液,rdfsyntaxnstype,角色
能力_需要与一个生物结合才可生存,rdfsyntaxnstype,能力
角色_毒液,relation_拥有,能力_极其强大无比的能力，他的力量与速度等等方面都会得到大规模的提升，同时也可达到不死的状态
角色_毒液,rdfsyntaxnstype,角色
能力_极其强大无比的能力，他的力量与速度等等方面都会得到大规模的提升，同时也可达到不死的状态,rdfsyntaxnstype,能力
角色_毒液,relation_共生,角色_彼得·帕克
角色_毒液,rdfsyntaxnstype,角色
角色_彼得·帕克,rdfsyntaxnstype,角色
角色_彼得·帕克,relation_代号,称号_蜘蛛侠
角色_彼得·帕克,rdfsyntaxnstype,角色
称号_蜘蛛侠,rdfsyntaxnstype,称号
角色_毒液,relation_共生,角色_闪电·汤姆森
角色_毒液,rdfsyntaxnstype,角色
角色_闪电·汤姆森,rdfsyntaxnstype,角色
角色_毒液,relation_共生,角色_埃迪·布洛克
角色_毒液,rdfsyntaxnstype,角色
角色_埃迪·布洛克,rdfsyntaxnstype,角色
角色_埃迪·布洛克,relation_去过,地点_加利福尼亚州
角色_埃迪·布洛克,rdfsyntaxnstype,角色
地点_加利福尼亚州,rdfsyntaxnstype,地点
角色_埃迪·布洛克,relation_来自,地点_加利福尼亚州
角色_埃迪·布洛克,rdfsyntaxnstype,角色
地点_加利福尼亚州,rdfsyntaxnstype,地点
角色_埃迪·布洛克,relation_拥有,能力_轻而易举的看出人们是否在对他撒谎
角色_埃迪·布洛克,rdfsyntaxnstype,角色
能力_轻而易举的看出人们是否在对他撒谎,rdfsyntaxnstype,能力
角色_埃迪·布洛克,relation_从事,职业_记者
角色_埃迪·布洛克,rdfsyntaxnstype,角色
职业_记者,rdfsyntaxnstype,职业
角色_埃迪·布洛克,relation_朋友,角色_食罪者
角色_埃迪·布洛克,rdfsyntaxnstype,角色
角色_食罪者,rdfsyntaxnstype,角色
角色_彼得·帕克,relation_对抗,角色_食罪者
角色_彼得·帕克,rdfsyntaxnstype,角色
角色_食罪者,rdfsyntaxnstype,角色
角色_埃迪·布洛克,relation_对抗,角色_彼得·帕克
角色_埃迪·布洛克,rdfsyntaxnstype,角色
角色_彼得·帕克,rdfsyntaxnstype,角色
角色_埃迪·布洛克,relation_拥有,能力_轻松打碎一面墙壁，接住一发子弹，甚至随意伸出触须并利用自己的触须做出各种自己想要做的事
角色_埃迪·布洛克,rdfsyntaxnstype,角色
能力_轻松打碎一面墙壁，接住一发子弹，甚至随意伸出触须并利用自己的触须做出各种自己想要做的事,rdfsyntaxnstype,能力
角色_韦德·威尔逊,relation_发现,角色_毒液
角色_韦德·威尔逊,rdfsyntaxnstype,角色
角色_毒液,rdfsyntaxnstype,角色
角色_彼得·帕克,relation_朋友,角色_神奇先生
角色_彼得·帕克,rdfsyntaxnstype,角色
角色_神奇先生,rdfsyntaxnstype,角色
角色_毒液,relation_共生,角色_麦克·加根
角色_毒液,rdfsyntaxnstype,角色
角色_麦克·加根,rdfsyntaxnstype,角色
角色_毒液,relation_参与,计划_重生计划2.0
角色_毒液,rdfsyntaxnstype,角色
计划_重生计划2.0,rdfsyntaxnstype,计划
角色_彼得·帕克,relation_朋友,角色_闪电·汤姆森
角色_彼得·帕克,rdfsyntaxnstype,角色
角色_闪电·汤姆森,rdfsyntaxnstype,角色
角色_毒液,relation_共生,角色_浣熊
角色_毒液,rdfsyntaxnstype,角色
角色_浣熊,rdfsyntaxnstype,角色
角色_毒液,relation_共生,角色_格鲁特
角色_毒液,rdfsyntaxnstype,角色
角色_格鲁特,rdfsyntaxnstype,角色
角色_毒液,relation_共生,角色_毁灭者德克斯
角色_毒液,rdfsyntaxnstype,角色
角色_毁灭者德克斯,rdfsyntaxnstype,角色
角色_闪电·汤姆森,relation_代号,称号_太空骑士
角色_闪电·汤姆森,rdfsyntaxnstype,角色
称号_太空骑士,rdfsyntaxnstype,称号
角色_黛西·约翰逊,relation_代号,称号_震波
角色_黛西·约翰逊,rdfsyntaxnstype,角色
称号_震波,rdfsyntaxnstype,称号
演员_汪可盈,relation_饰演,角色_黛西·约翰逊
演员_汪可盈,rdfsyntaxnstype,演员
角色_黛西·约翰逊,rdfsyntaxnstype,角色
角色_黛西·约翰逊,relation_出现,作品_《神盾局特工》
角色_黛西·约翰逊,rdfsyntaxnstype,角色
作品_《神盾局特工》,rdfsyntaxnstype,作品
角色_黛西·约翰逊,relation_后代,角色_卡尔文·扎博
角色_黛西·约翰逊,rdfsyntaxnstype,角色
角色_卡尔文·扎博,rdfsyntaxnstype,角色
角色_黛西·约翰逊,relation_后代,角色_贾盈
角色_黛西·约翰逊,rdfsyntaxnstype,角色
角色_贾盈,rdfsyntaxnstype,角色
角色_卡尔文·扎博,relation_配偶,角色_贾盈
角色_卡尔文·扎博,rdfsyntaxnstype,角色
角色_贾盈,rdfsyntaxnstype,角色
角色_黛西·约翰逊,relation_拥有,能力_计算机技术
角色_黛西·约翰逊,rdfsyntaxnstype,角色
能力_计算机技术,rdfsyntaxnstype,能力
角色_黛西·约翰逊,relation_属于,团队_涨潮组织
角色_黛西·约翰逊,rdfsyntaxnstype,角色
团队_涨潮组织,rdfsyntaxnstype,团队
角色_黛西·约翰逊,relation_朋友,角色_菲尔·科尔森
角色_黛西·约翰逊,rdfsyntaxnstype,角色
角色_菲尔·科尔森,rdfsyntaxnstype,角色
角色_黛西·约翰逊,relation_从事,职业_顾问
角色_黛西·约翰逊,rdfsyntaxnstype,角色
职业_顾问,rdfsyntaxnstype,职业
角色_黛西·约翰逊,relation_属于,机构_神盾局
角色_黛西·约翰逊,rdfsyntaxnstype,角色
机构_神盾局,rdfsyntaxnstype,机构
角色_黛西·约翰逊,relation_从事,职业_特工
角色_黛西·约翰逊,rdfsyntaxnstype,角色
职业_特工,rdfsyntaxnstype,职业
演员_克利福德·约瑟夫·哈里斯,relation_饰演,角色_戴夫
演员_克利福德·约瑟夫·哈里斯,rdfsyntaxnstype,演员
角色_戴夫,rdfsyntaxnstype,角色
角色_戴夫,relation_朋友,角色_史考特
角色_戴夫,rdfsyntaxnstype,角色
角色_史考特,rdfsyntaxnstype,角色
角色_戴夫,relation_朋友,角色_路易斯
角色_戴夫,rdfsyntaxnstype,角色
角色_路易斯,rdfsyntaxnstype,角色
角色_戴夫,relation_朋友,角色_寇特
角色_戴夫,rdfsyntaxnstype,角色
角色_寇特,rdfsyntaxnstype,角色
角色_戴夫,relation_拥有,能力_偷车与驾车的高手
角色_戴夫,rdfsyntaxnstype,角色
能力_偷车与驾车的高手,rdfsyntaxnstype,能力
角色_戴夫,relation_出现,作品_《蚁人》
角色_戴夫,rdfsyntaxnstype,角色
作品_《蚁人》,rdfsyntaxnstype,作品
角色_戴夫,relation_出现,作品_《蚁人2：黄蜂女现身》
角色_戴夫,rdfsyntaxnstype,角色
作品_《蚁人2：黄蜂女现身》,rdfsyntaxnstype,作品
角色_布伦希尔德,relation_代号,称号_女武神
角色_布伦希尔德,rdfsyntaxnstype,角色
称号_女武神,rdfsyntaxnstype,称号
角色_布伦希尔德,relation_出现,作品_《复仇者联盟》
角色_布伦希尔德,rdfsyntaxnstype,角色
作品_《复仇者联盟》,rdfsyntaxnstype,作品
角色_布伦希尔德,relation_出现,作品_《雷神3：诸神黄昏》
角色_布伦希尔德,rdfsyntaxnstype,角色
作品_《雷神3：诸神黄昏》,rdfsyntaxnstype,作品
演员_泰莎·汤普森,relation_饰演,角色_布伦希尔德
演员_泰莎·汤普森,rdfsyntaxnstype,演员
角色_布伦希尔德,rdfsyntaxnstype,角色
角色_布伦希尔德,relation_来自,地点_阿斯加德
角色_布伦希尔德,rdfsyntaxnstype,角色
地点_阿斯加德,rdfsyntaxnstype,地点
角色_布伦希尔德,relation_去过,地点_阿斯加德
角色_布伦希尔德,rdfsyntaxnstype,角色
地点_阿斯加德,rdfsyntaxnstype,地点
角色_布伦希尔德,relation_从事,职业_战士
角色_布伦希尔德,rdfsyntaxnstype,角色
职业_战士,rdfsyntaxnstype,职业
角色_布伦希尔德,relation_领导,团队_女武神军团
角色_布伦希尔德,rdfsyntaxnstype,角色
团队_女武神军团,rdfsyntaxnstype,团队
角色_布伦希尔德,relation_属于,团队_女武神军团
角色_布伦希尔德,rdfsyntaxnstype,角色
团队_女武神军团,rdfsyntaxnstype,团队
角色_布伦希尔德,relation_持有,装备_名叫“龙牙”的魔法剑
角色_布伦希尔德,rdfsyntaxnstype,角色
装备_名叫“龙牙”的魔法剑,rdfsyntaxnstype,装备
角色_布伦希尔德,relation_持有,装备_飞马阿拉冈
角色_布伦希尔德,rdfsyntaxnstype,角色
装备_飞马阿拉冈,rdfsyntaxnstype,装备
角色_布伦希尔德,relation_对抗,角色_海拉
角色_布伦希尔德,rdfsyntaxnstype,角色
角色_海拉,rdfsyntaxnstype,角色
角色_布伦希尔德,relation_从事,职业_赏金猎人
角色_布伦希尔德,rdfsyntaxnstype,角色
职业_赏金猎人,rdfsyntaxnstype,职业
角色_布伦希尔德,relation_代号,称号_拾荒者142号
角色_布伦希尔德,rdfsyntaxnstype,角色
称号_拾荒者142号,rdfsyntaxnstype,称号
角色_布伦希尔德,relation_朋友,角色_托尔·奥丁森
角色_布伦希尔德,rdfsyntaxnstype,角色
角色_托尔·奥丁森,rdfsyntaxnstype,角色
角色_布伦希尔德,relation_去过,地点_地球
角色_布伦希尔德,rdfsyntaxnstype,角色
地点_地球,rdfsyntaxnstype,地点
角色_布伦希尔德,relation_出现,作品_《复仇者联盟3：无限战争》
角色_布伦希尔德,rdfsyntaxnstype,角色
作品_《复仇者联盟3：无限战争》,rdfsyntaxnstype,作品
角色_布伦希尔德,relation_出现,作品_《雷神3：诸神黄昏》
角色_布伦希尔德,rdfsyntaxnstype,角色
作品_《雷神3：诸神黄昏》,rdfsyntaxnstype,作品
演员_泰莎·汤普森,relation_饰演,角色_布伦希尔德
演员_泰莎·汤普森,rdfsyntaxnstype,演员
角色_布伦希尔德,rdfsyntaxnstype,角色
角色_布莱恩·布拉多克,relation_出现,作品_《X战警》
角色_布莱恩·布拉多克,rdfsyntaxnstype,角色
作品_《X战警》,rdfsyntaxnstype,作品
角色_布莱恩·布拉多克,relation_出现,作品_《圣剑》
角色_布莱恩·布拉多克,rdfsyntaxnstype,角色
作品_《圣剑》,rdfsyntaxnstype,作品
角色_布莱恩·布拉多克,relation_出现,作品_《潘德拉贡的骑士》
角色_布莱恩·布拉多克,rdfsyntaxnstype,角色
作品_《潘德拉贡的骑士》,rdfsyntaxnstype,作品
角色_布莱恩·布拉多克,relation_出现,作品_《秘密复仇者》
角色_布莱恩·布拉多克,rdfsyntaxnstype,角色
作品_《秘密复仇者》,rdfsyntaxnstype,作品
角色_布莱恩·布拉多克,relation_出现,作品_《英国队长》
角色_布莱恩·布拉多克,rdfsyntaxnstype,角色
作品_《英国队长》,rdfsyntaxnstype,作品
角色_布莱恩·布拉多克,relation_兄弟姐妹,角色_詹米·布拉多克
角色_布莱恩·布拉多克,rdfsyntaxnstype,角色
角色_詹米·布拉多克,rdfsyntaxnstype,角色
角色_埃德温·贾维斯,relation_属于,机构_斯克鲁人替换者互助会
角色_埃德温·贾维斯,rdfsyntaxnstype,角色
机构_斯克鲁人替换者互助会,rdfsyntaxnstype,机构
角色_奇异博士,relation_属于,团队_复仇者联盟
角色_奇异博士,rdfsyntaxnstype,角色
团队_复仇者联盟,rdfsyntaxnstype,团队
角色_埃德温·贾维斯,relation_爱上,角色_玛丽拉
角色_埃德温·贾维斯,rdfsyntaxnstype,角色
角色_玛丽拉,rdfsyntaxnstype,角色
角色_水晶,relation_属于,团队_复仇者联盟
角色_水晶,rdfsyntaxnstype,角色
团队_复仇者联盟,rdfsyntaxnstype,团队
角色_露娜,relation_后代,角色_水晶
角色_露娜,rdfsyntaxnstype,角色
角色_水晶,rdfsyntaxnstype,角色
角色_玛丽拉,relation_从事,职业_保姆
角色_玛丽拉,rdfsyntaxnstype,角色
职业_保姆,rdfsyntaxnstype,职业
角色_露娜,relation_雇佣,角色_玛丽拉
角色_露娜,rdfsyntaxnstype,角色
角色_玛丽拉,rdfsyntaxnstype,角色
角色_布莱恩·布拉多克,relation_兄弟姐妹,角色_伊丽莎白·布拉多克
角色_布莱恩·布拉多克,rdfsyntaxnstype,角色
角色_伊丽莎白·布拉多克,rdfsyntaxnstype,角色
角色_伊丽莎白·布拉多克,relation_代号,称号_灵蝶
角色_伊丽莎白·布拉多克,rdfsyntaxnstype,角色
称号_灵蝶,rdfsyntaxnstype,称号
角色_布莱恩·布拉多克,relation_师从,角色_梅林
角色_布莱恩·布拉多克,rdfsyntaxnstype,角色
角色_梅林,rdfsyntaxnstype,角色
角色_布莱恩·布拉多克,relation_代号,称号_不列颠的守护者
角色_布莱恩·布拉多克,rdfsyntaxnstype,角色
称号_不列颠的守护者,rdfsyntaxnstype,称号
角色_布莱恩·布拉多克,relation_持有,装备_权威之符
角色_布莱恩·布拉多克,rdfsyntaxnstype,角色
装备_权威之符,rdfsyntaxnstype,装备
角色_布莱恩·布拉多克,relation_持有,装备_英国国旗主题制服
角色_布莱恩·布拉多克,rdfsyntaxnstype,角色
装备_英国国旗主题制服,rdfsyntaxnstype,装备
角色_布莱恩·布拉多克,relation_朋友,角色_彼得·帕克
角色_布莱恩·布拉多克,rdfsyntaxnstype,角色
角色_彼得·帕克,rdfsyntaxnstype,角色
角色_布莱恩·布拉多克,relation_朋友,角色_黑骑士
角色_布莱恩·布拉多克,rdfsyntaxnstype,角色
角色_黑骑士,rdfsyntaxnstype,角色
角色_布莱恩·布拉多克,relation_去过,地点_异界
角色_布莱恩·布拉多克,rdfsyntaxnstype,角色
地点_异界,rdfsyntaxnstype,地点
角色_布莱恩·布拉多克,relation_对抗,角色_冥府神
角色_布莱恩·布拉多克,rdfsyntaxnstype,角色
角色_冥府神,rdfsyntaxnstype,角色
角色_布莱恩·布拉多克,relation_发现,角色_亚瑟王
角色_布莱恩·布拉多克,rdfsyntaxnstype,角色
角色_亚瑟王,rdfsyntaxnstype,角色
角色_亚瑟王,relation_代号,称号_不列颠英雄
角色_亚瑟王,rdfsyntaxnstype,角色
称号_不列颠英雄,rdfsyntaxnstype,称号
角色_詹姆斯·加斯帕斯,relation_从事,职业_爵士
角色_詹姆斯·加斯帕斯,rdfsyntaxnstype,角色
职业_爵士,rdfsyntaxnstype,职业
角色_布莱恩·布拉多克,relation_兄弟姐妹,角色_贝茜·布拉多克
角色_布莱恩·布拉多克,rdfsyntaxnstype,角色
角色_贝茜·布拉多克,rdfsyntaxnstype,角色
角色_布莱恩·布拉多克,relation_代号,称号_英国队长
角色_布莱恩·布拉多克,rdfsyntaxnstype,角色
称号_英国队长,rdfsyntaxnstype,称号
角色_贝茜·布拉多克,relation_代号,称号_英国队长
角色_贝茜·布拉多克,rdfsyntaxnstype,角色
称号_英国队长,rdfsyntaxnstype,称号
角色_布莱恩·布拉多克,relation_朋友,角色_梅甘
角色_布莱恩·布拉多克,rdfsyntaxnstype,角色
角色_梅甘,rdfsyntaxnstype,角色
角色_布莱恩·布拉多克,relation_朋友,角色_夜行者
角色_布莱恩·布拉多克,rdfsyntaxnstype,角色
