id,head,rel,tail,confidence,sentence,time,subject,paper_id
290851,sequences,introduce,cluster,0.9176096793265422,Phylogenetic reconstruction revealed that the A6 sequences were introduced into the epidemic cluster that arose approximately around 1998,2019,Biology_Sociology,1128196.0
290852,services,year olds for,thirds,0.9589999914169312,Five regions accounted for two-thirds of 10-18 year olds in paediatric and 85% of 19-24 year olds in adult services,2019,Biology_Sociology,1137051.0
290857,current literature,provide,article,0.944056173886228,"In addition to detail descriptions of the case report, we reviewed the current literature for LSAA provided in this article",2019,Biology_Sociology,1221794.0
290860,sports,appear,played,0.8109630585885954,"AbstractOver the past two decades, there have been a number of sociological investigations of participation by women in sports that had previously appeared to have been played exclusively by men",2019,Biology_Sociology,1275288.0
290862,Simple random sampling technique,use,study participants,0.9186941924198344,Simple random sampling technique was used to select the study participants,2019,Biology_Sociology,1319281.0
290864,study,design,qualitative,0.9030401971054748,Methodology: The study is designed as a qualitative case study,2019,Biology_Sociology,1326258.0
290866,interests,not have more,national guidelines,0.9088558797362658,"1   In consideration of the positive security data for the application of propofol by non-anaesthetists in the GI endoscopy, not least also by the ProSed2 study documented, specialised political interests should not have an influence on national guideline",2019,Biology_Sociology,
290874,challenges,face,women,0.9030401971054748,"The case will focus on ethical, medical, and legal challenges facing incarcerated women and their healthcare practitioners during pregnancy, labor, and the early postpartum period",2019,Biology_Sociology,1566135.0
290875,ages,range,years,0.8942434158739456,"3 years, with ages ranging from 34 to 85 years",2019,Biology_Sociology,1575939.0
290880,management strategies,develop,impact,0.8477538091726738,Appropriate prevention and management strategies should be developed to reduce its impact,2019,Biology_Sociology,1637018.0
290882,individuals,detect,platforms,0.8942434158739456,"5, respectively), resulting in comparable numbers of individuals detected by both platforms (135 vs",2019,Biology_Sociology,1638881.0
290886,multiple regression analysis,use,analyze,0.9111779447320654,Correlation and multiple regression analysis were used to analyze the data,2019,Biology_Sociology,1727737.0
290888,study,validate,behavioral change,0.9180804252893388,This study validates TTM-C behavioral change as a novel means to evaluate community health events,2019,Biology_Sociology,1728987.0
290889,worldwide,annoy,government,0.913197594301744,"Background: Drug addiction is a major public health and socioeconomic problem worldwide that annoys the Egyptian government, as it deals with youth within the age of productivity",2019,Biology_Sociology,1739438.0
290891,Case examples,use,illustrate,0.9387281236502384,"Case examples from India, Malaysia, Myanmar and Singapore will be used to illustrate this contention",2019,Biology_Sociology,1772074.0
290892,images,come,cameras,0.9111779447320654,"For example, they force security agents to monitor continuously all the images coming from the installed cameras, and potential victims nearby are not aware of the danger until someone triggers a general alarm, which also does not give them information on",2019,Biology_Sociology,1777367.0
290898,movement,increase,popularity,0.944056173886228,"Despite its association with violence, drugs and crime the Free Party-movement is increasing in popularity",2019,Biology_Sociology,1816792.0
290904,Data,hide,identity,0.9383119524695256,Data gathered from semi-structured interviews with 33 reunited birth mothers show they had been stigmatized for their unwed motherhood and hid this identity to protect self from social censure,2019,Biology_Sociology,1965884.0
290914,campaign,monitor,till,0.7351279940478935,"However, after discontinuation of the campaign the prematurity rates in Thuringia monitored till 2005 are as high as prior to our statewide programme in general as for our hospital in particular",2019,Biology_Sociology,2069075.0
290916,limitation,identify,literature,0.9111779447320654,The main limitation identified in the literature is that the reported associations cannot be given a causal interpretation,2019,Biology_Sociology,2096166.0
290919,case studies,provide,improvements,0.9111779447320654,Both case studies provide new insights and improvements to the list of factors,2019,Biology_Sociology,2211091.0
290922,ranking list,compare,official,0.9671752457388892,"In conclusion, the ranking list of the teams compares to the ICC official ranking",2019,Biology_Sociology,2277004.0
290928,cluster,include,populations,0.9180804252893388,"First cluster comprised of Meerut population, second cluster included of Cuttack and Kolkata populations and populations of Bihar, Delhi and Kanpur occurred in third cluster",2019,Biology_Sociology,2439150.0
290943,grupos,de,edad,0.7981708412632643,"grupos de edad en virtud de la condicion de congruencia, si bien el PIA presento indicios",2019,Biology_Sociology,2554214.0
290946,influencia,sobre,las diferencias,0.944056173886228,observo influencia del efecto Gratton sobre las diferencias de edad en el efecto Post-error,2019,Biology_Sociology,2554214.0
290952,article,offer,perspective,0.9180804252893388,"This article uses stigma and metaperception to study tourist-host encounter in ticklish situations, and offers a new perspective on VFR travel",2019,Biology_Sociology,2661946.0
290953,reasonableness,examine,sectors,0.9186941924198344,"The search for reasonableness was examined in three sectors: nuclear industry, medical practices and existing exposure situations",2019,Biology_Sociology,2678615.0
290957,coalition,approach,assessment,0.9030401971054748,"As the coalition approached the time for a new assessment, their priority was to develop a deeper understanding of community health needs and solutions",2019,Biology_Sociology,2844749.0
290962,citizens,complete,postgraduate,0.948251406143469,"Background : Prior to 1973, West African citizens completed postgraduate medical and surgical training abroad, particularly in the United Kingdom",2019,Biology_Sociology,2884256.0
290963,people,use,service,0.8942434158739456,there has been a growth in the number of people using the free health service,2019,Biology_Sociology,2898459.0
290966,patients,easily be move,residence,0.8211012035398638,So that patients easily will be moving around their residence,2019,Biology_Sociology,3011204.0
290967,study,conduct,city,0.9472929138282772,"This study was conducted in Al Qurayyat city, to measure the awareness of consumers of food poisoning and its signs, risky foods, practice and proper selection of ready food and main microbial pathogens as food safety complications",2019,Biology_Sociology,3022044.0
290970,practitioners,reason,practice,0.8668367470739037,We explain how practitioners should reason in practice to identify which DA approach they should implement in a given situation,2019,Biology_Sociology,3031640.0
290971,samples,determine by,respondents,0.9929999709129332,The number of samples was determined by using Krejcie and Morgan tables which yielded 44 respondents/patients,2019,Biology_Sociology,3060259.0
290977,linear regression,use,outcomes,0.944056173886228,Random-effects linear regression and marginal logistic regression models using generalized estimating equations were used to analyse outcomes,2019,Biology_Sociology,3114446.0
290984,target,set,United Nations,0.9569065201547589,"Thus, the study recommended the implementation of proper measures and mechanism in the policy that will help curtail the high rate of maternal mortality in the country and help the country achieve the MDG target set by the United Nations",2019,Biology_Sociology,3275735.0
290989,perpetrators,predict,balance,0.9393558870691942,"We try to characterize not just perpetrators who on balance are predicted to re-offend, but who are very likely to re-offend in a manner that leads to victim injuries",2019,Biology_Sociology,3312038.0
290991,findings,communicate,Clinicians,0.9180804252893388,These findings should be communicated to Clinicians and the recurring attitude of allowing House Officers to fill the requisition forms should be discouraged,2019,Biology_Sociology,3341411.0
290993,argument,not apply,case,0.913444597172546,"Moreover, we explain why the argument for the other cases does not apply in this case",2019,Biology_Sociology,3357102.0
291002,concentrations,compare,measurements,0.9489461080096144,"5 , O 3 , NO 2 , OC, and EC concentrations in Beijing compared to measurements",2019,Biology_Sociology,3632681.0
291003,trajectories,leave,scene,0.9111779447320654,People are eventually counted by accumulating the head trajectories leaving the scene,2019,Biology_Sociology,3651996.0
291006,structured interviews,carry with,residents,0.9919999837875366,"To this end, a specific questionnaire was produced about tourism-phobia, 378 surveys were distributed and completed and 10 semi-structured interviews were carried out with residents",2019,Biology_Sociology,3788539.0
291007,study,analyse,tourism,0.896604430840561,This research is the first study that analyses tourism-phobia by using statistically reliable samples,2019,Biology_Sociology,3788539.0
291012,name,appear,note,0.724144061965746,"Kg of Basic Cocaine Paste and a note in which his name appears, but despite the physical",2019,Biology_Sociology,3857358.0
291013,witnesses,support,prosecution,0.9030401971054748,"evidence and the statement of police witnesses supporting the prosecution, the accused from the",2019,Biology_Sociology,3857358.0
291014,populations,genetically well separate,populations,0.9030401971054748,Four populations were genetically well separated from the other 15 populations,2019,Biology_Sociology,3880048.0
291019,issues,observe,communities,0.9111779447320654,The health system and the social and cultural issues observed in many Appalachian communities are introduced,2019,Biology_Sociology,3926844.0
291021,rules,design,conviction,0.9111779447320654,Prophylactic evidentiary rules designed to reduce rates of wrongful conviction turn out to be deeply problematic,2019,Biology_Sociology,3948890.0
291023,biologicos,acidentes,material,0.896604430840561,"RESULTADOS: Analise dos dados coletados permitiu observacao de quatro categorias: percepcao sobre a exposicao a materiais biologicos, acidentes com material biologico, acoes apos a exposicao, estrategias de prevencao dos acidentes e medidas protetivas e p",2019,Biology_Sociology,3951549.0
291028,unlabeled target samples,classify,estimated probability,0.9294661121463618,The unlabeled target samples are then classified with the estimated probability maps using the model trained in the projected correlation subspace,2019,Biology_Sociology,4065882.0
291032,study,regard,exploratory study,0.9030401971054748,This study should be regarded as an exploratory study pending a more systematic causal analysis in the future,2019,Biology_Sociology,4102574.0
291034,study,employ,lens,0.9372494423173456,"Additionally, the study employs an intersectional lens to consider whether the patterns of association are different for Asian women and White women",2019,Biology_Sociology,4128023.0
291039,produtores,e,agentes,0.9082029466707026,"A partir desse modelo de analise, identificamos, na comunidade estudada, diferentes tipos de mercados (alternativos, convencionais ou institucionais) e circuitos (longo/curto), cujas caracteristicas variam em relacao as diferentes exigencias de qualidade,",2019,Biology_Sociology,4197461.0
291041,sentiments,identify,group,0.8942434158739456,010) sentiments could be identified in the case group,2019,Biology_Sociology,4222329.0
291048,threats,vary,time,0.9030401971054748,"Multiple threats have been described, and given that these threats vary in space and time, there is an urgent need to estimate demographic rates at the appropriate spatio-temporal scale",2019,Biology_Sociology,4346946.0
291050,Chapter,manage,case studies,0.9990000128746032,Chapter 1 Implementing Managing for Development Results for Inclusive Development  Chapter 2 Country-Level Case Studies in Africa  Chapter 3 Country-Level Case Studies in Asia  Chapter 4 Country-Level Case Studies in Latin America and the Caribbean,2019,Biology_Sociology,
291054,Registered Nurses,recruit,countries,0.9266232318014764,Literature survey There is a paucity of published literature in terms of the retention of Registered Nurses recruited from other countries,2019,Biology_Sociology,4456847.0
291055,marriage,increase,menarche,0.9256263201643982,Results: The risk of early marriage increased with age of menarche <12 years (OR= 3,2019,Biology_Sociology,4465717.0
291058,NOVA,have,health outcomes,0.9241224772053158,Research documenting that NOVA can be implemented by consumers and has nutrition and health outcomes equal to vetted patterns is needed,2019,Biology_Sociology,4513402.0
291062,risk level,define,safety,0.9111779447320654,"A plausibility check was carried out indicating that the risk level defined by the safety target is lower than, or of the same order of magnitude as, many other corresponding risks in society, e",2019,Biology_Sociology,4566365.0
291071,Representative samples,draw,nations,0.9251282565798028,"Representative samples drawn from 136 nations reported whether in the past month they had helped a stranger who needed help, donated money to a charity, and worked as a volunteer for an organization",2019,Biology_Sociology,4767864.0
291077,Abstract Background,report,Provinces,0.9497646913932042,"Abstract Background As of February 25, 2019, 875 cases of Ebola virus disease (EVD) were reported in North Kivu and Ituri Provinces, Democratic Republic of Congo",2019,Biology_Sociology,4822425.0
291084,anos,ou,mais,0.9030401971054748,"Os paises em desenvolvimento conceituam a faixa etaria da pessoa idosa de forma diferente dos paises desenvolvidos, ou seja, para paises em desenvolvimento, no caso o Brasil, retrata que pessoas idosas seriam aquelas acima de 60 anos e para os paises dese",2019,Biology_Sociology,5094977.0
291086,empirical analysis,by use,approach,0.9125462839307744,The empirical analysis is carried out by using the GMM method and the Granger Causality testing approach,2019,Biology_Sociology,5208586.0
291087,cross,carry out,February 2017,0.9250606141558616,Methods: A cross-sectional study was carried out between February 2017 and January 2018 using a proportionate cluster sample of 630 Lebanese adults,2019,Biology_Sociology,5218364.0
291088,estudio,mujeres,victimas,0.9250606141558616,Metodologia: Se realizo un estudio comparativo entre mujeres victimas de violencia y mujeres que no reportaron haber sufrido violencia,2019,Biology_Sociology,5255301.0
291094,studies,originate,Western countries,0.9186941924198344,"Despite an increase in recent years in the publication of empirical studies on sexual homicide, most of these studies originate from Western countries",2019,Biology_Sociology,5360271.0
291095,study,show,prevalence,0.9524232899707616,"In the Filipino population, a study showed 14% prevalence of the disease",2019,Biology_Sociology,5362542.0
291097,Urdu language,report,number,0.9990000128746032,"To some extent, the Urdu language newspaper the Daily Jang has reported 1297 more number of women issues and used 1 percent of total capacity of 2423616 col",2019,Biology_Sociology,5404007.0
291103,study,help,scenario,0.8240414069215384,This study can help us to identify about the scenario of UDC,2019,Biology_Sociology,5571600.0
291104,paper,consolidate,literature,0.99099999666214,6 This paper consolidates the literature and presents definitions of evidence-related concepts in public health,2019,Biology_Sociology,5604838.0
291108,countries,experience,loss,0.858772576540734,These countries will also experience more loss in birds in danger when the population grows,2019,Biology_Sociology,5656187.0
291114,people,dislocate from,Poland,0.9919999837875366,"In the years 1944-1946, 488,057 people were dislocated from Poland to Ukraine",2019,Biology_Sociology,5756311.0
291116,cases,approach,viewpoints,0.944056173886228,The cases of Charlie Gard and Alfie Evans can be approached from many different viewpoints,2019,Biology_Sociology,5834767.0
291127,crisis,reproduce,Europe,0.9337934435409166,All three represented Europe as unable or unwilling to deal with a crisis that Europe itself partly caused or reproduced,2019,Biology_Sociology,6086872.0
291134,population sizes,vary,populations,0.9205578370056476,Causes of changes in population sizes are unknown and likely vary among populations,2019,Biology_Sociology,6207055.0
291135,pensar,mais,devem ser,0.908802502187375,"Tambem frisamos a questao do crescimento de pessoas acima de sessenta anos, o que nos leva a pensar ainda mais no modo como devem ser tratados, visto que e uma populacao mais dependente de zelo e que necessita de um cuidado dobrado, tanto por parte da fam",2019,Biology_Sociology,6231627.0
291138,outbreak,spread,Europe,0.9630780379752194,An outbreak in Russia in 2007 has since spread into Europe,2019,Biology_Sociology,6322239.0
291143,sample,include,participants,0.913197594301744,"In the second, larger sample, which included over 21,000 participants, we have tested for differences across demographics",2019,Biology_Sociology,6465171.0
291144,neglect,point,protagonists,0.9519143416197944,"Blame for neglect is pointed towards protagonists, which include pharmaceutical companies, for not investing in diseases of poverty and donor governments and NGOs, for directing attention to high mortality diseases",2019,Biology_Sociology,6535620.0
291152,factores,se,describieron,0.9048739420098166,factores personales se describieron los factores contextuales y se asumio como,2019,Biology_Sociology,6802141.0
291153,el comportamiento,actitud,estudiantes,0.9436221120476838,este incide de alguna manera en el comportamiento y actitud de los estudiantes,2019,Biology_Sociology,6802141.0
291155,developing countries,follow,trajectory,0.7990641585567606,"However, the Chinese case is exceptional: few other developing countries have followed a trajectory anything like that of China",2019,Biology_Sociology,6814698.0
291157,states,approach,conflicts,0.9030401971054748,"The ethnopolitical regimes, as a form of already existing relations between the authority / state ethnonational communities, influence the conflict potential of the ethnonational factor and the states approach to setting ethnonational conflicts",2019,Biology_Sociology,6827926.0
291158,Supreme Court,change,position,0.9329286852051248,A new ruling was passed in 2011 in which the Supreme Court changed the legal position and stated that a regular assessment of culpability should be made even in situations of self-induced intoxication,2019,Biology_Sociology,6874125.0
291160,absence,directly harm,human health,0.9256263201643982,The absence of control and adequate treatments directly harms ecosystems and human health,2019,Biology_Sociology,6885813.0
291162,immigration,mix,outcomes,0.9236276974278071,"This data suggests that, for these women, immigration had mixed outcomes",2019,Biology_Sociology,6978521.0
291165,idea,present,reforms,0.9030401971054748,"He develops this idea presenting some previous health reforms in the 1970-80 in some countries to show a singularity in the Brazilian one, which in his view made the path for neo-liberal policies on health easier",2019,Biology_Sociology,7070063.0
291166,index,case,sister,0.8348583869532935,"The index case, a 44-year-old woman, and her sister, a",2019,Biology_Sociology,7100192.0
291169,districts,report,number,0.9111779447320654,Only some districts are reporting a high number of cases in every year,2019,Biology_Sociology,7184256.0
291177,data analysis,show,regression coefficient,0.9256263201643982,The results of data analysis showed a regression coefficient of 0,2019,Biology_Sociology,7353306.0
291181,terrorist,cause,emergency,0.9420591760840088,"Both the January and November terrorist incidents captured worldwide attention, claimed many lives, and caused France to declare a state of emergency",2019,Biology_Sociology,7416524.0
291184,research,use,explanatory,0.9186941924198344,This type of research uses explanatory research to explain the causal relationship between the variables that influence the hypothesis,2019,Biology_Sociology,7530886.0
291185,results,produce,Sierra,0.9180804252893388,"Finally, in the conclusions, we present a critical reflection on the methods, data, exportability and scalability of the results produced in the Sierra Calderona Case",2019,Biology_Sociology,7571466.0
291189,percentages,present,qualitative variables,0.9186941924198344,The number of cases and percentages were presented for the qualitative variables,2019,Biology_Sociology,7815748.0
291193,cargo,carry,ship,0.9030401971054748,It can be concluded that the ship's officers must carry out the process of loading and unloading quarantine plant species in order to help expedite the effectiveness of the cargo carried by the ship from one place to another,2019,Biology_Sociology,7966751.0
291197,India,punish,perpetrators,0.9064683704715876,"Responding to the Uri (2016) and Pulwama (2019) terror attacks, India retaliated strongly through military-like surgical land and air strikes in Pakistan and punished the perpetrators",2019,Biology_Sociology,8053259.0
291198,entrapment,influence,perceptions,0.8817598924294554,Findings from this study reveal that entrapment factors and shared characteristics between victims and traffickers influenced perceptions of specific kinds of power,2019,Biology_Sociology,8067442.0
291207,Venezuela,reap,avalanche,0.919775969655244,Venezuela has reaped an avalanche of bad news during the year 2019,2019,Biology_Sociology,8562843.0
291214,results,compare,values,0.858772576540734,"The results were also compared with theoretical values, showing very good agreement in all cases",2019,Biology_Sociology,8889912.0
291216,contenido,oportunidad,cada,0.9266232318014764,"La novedad estriba en acercar dicha  formacion en contenido y oportunidad  a cada uno de los agentes locales que  puedan intervenir en el Plan de Emergencia Exterior, en nuestro ambito el  Plan Penta (Plan de Emergencia Nuclear de la provincia de Tarragon",2019,Biology_Sociology,
291220,remedies,aim ensure,effectiveness,0.8687898141791109,The uniqueness of the EU manifests itself in the system of remedies that aim to ensure compliance with and thereby the effectiveness of EU law,2019,Biology_Sociology,9010514.0
291231,custodial,not contribute,recidivism,0.8901984885786094,"Predominantly based on segregation and isolation, custodial sentences do not contribute to the reduction of recidivism if no adequate treatment programmes are implemented throughout their duration",2019,Biology_Sociology,9211137.0
291236,cases,examine,understand,0.943298909360718,The research adopted a case study design in which various cases were examined to understand issues surrounding the implications of NTBs on COMESA free trade area,2019,Biology_Sociology,9432898.0
291248,migrations,affect,women,0.9524232899707616,"Work-related international migration was also an important characteristic of Italian cohorts born in the last decades of the Nineteenth century, and in the first decades of the Twentieth, as these migrations affected more men than women",2019,Biology_Sociology,10103038.0
291252,Penitenciaria,locate,Santiago,0.9277724913494432,"This study explores the reasons why Carcel Ex-Penitenciaria (CDP Santiago Sur), located in Santiago, Chile, one of the oldest operating prisons in the country, that houses the highest number of inmates, under deplorable conditions, still remains open",2019,Biology_Sociology,10310809.0
291253,harmful gases,diffuse,accidents,0.9030401971054748,"Toxic and harmful gases are diffused in the scenes of these accidents, which causes great difficulties for fire fighting and rescue operations of fire fighting forces, and consequently, casualties of firefighters often occur",2019,Biology_Sociology,10385261.0
291255,charges,bring,Clean Air,0.9180804252893388,"I identify shifts in the data, the most notable of which are a dramatic drop in the number of cases and defendants charged during the last year of our data, a significant increase in the number of criminal charges brought under the Clean Air Act for non-a",2019,Biology_Sociology,10503593.0
291259,paper,explore,participatory,0.9030401971054748,"This paper explores the experiences of a participatory, educational, action research programme on nutrition for indigenous women and men in Eastern India",2019,Biology_Sociology,10508369.0
291263,Tunisia,have,scores,0.8919658476537646,"In particular, Egypt and Tunisia had better scores in their implementation index for 2012 compared to their corresponding rules index, while it is the inverse in the Jordanian and Moroccan cases",2019,Biology_Sociology,10650215.0
291268,Regression analysis,use,analyze,0.9030401971054748,Regression analysis was used to analyze the data,2019,Biology_Sociology,11219430.0
291272,logistic regression analysis,test,hypothesis,0.896604430840561,"Samples were taken by purposive sampling method, logistic regression analysis was used to test the hypothesis",2019,Biology_Sociology,11315993.0
291284,thesis,apply,ecology,0.9524232899707616,"Within a backdrop of rising drug use in Kenya, this thesis applies the social ecology theory to elaborate the determinants of drug use trajectories and attendant HIV risks among women who inject drugs",2019,Biology_Sociology,11787564.0
291293,study,use,strategies,0.9030401971054748,This study uses panel data from Brazil and strategies for reducing sensitivity to hidden biases to study how crime victims update their policy preferences,2019,Biology_Sociology,11957108.0
291295,research,aim identify,community empowerment,0.932597734620581,"This research aimed to identify community empowerment activities in the dissemination of health information to improve the quality of public health in Margajaya village, Ngamprah, West Bandung Regency",2019,Biology_Sociology,11975796.0
291296,incidence,vary,values,0.6381012045821894,"Its incidence may vary from values less than one case in developed countries, up to 30 cases per 100,000 people in less developed countries",2019,Biology_Sociology,12041889.0
291307,occupancy,acquire,survey,0.9186941924198344,Data on these habits and the links with occupancy are acquired from a survey conducted in a NZEB case-study project in Belgium,2019,Biology_Sociology,13440584.0
291311,developing countries,lack,registration,0.956190223803737,"Many developing countries lack a reliable resident registration system, resulting in difficult challenges in understanding health status of a population",2019,Biology_Sociology,13782735.0
291313,brief,discuss,case,0.9111779447320654,""" This brief essay will discuss one case, Epps v",2019,Biology_Sociology,13898026.0
291315,professionals,work,rural population,0.8942434158739456,"makes a valuable contribution to professionals working with the rural population, expanding",2019,Biology_Sociology,14054902.0
291317,public health policies,focus,specificities,0.9186941924198344,there are no public health policies focused on the health needs and specificities of rural workers,2019,Biology_Sociology,14054902.0
291319,criterios,que,seran,0.9186941924198344,"Sin embargo, ambos criterios tienen defectos que seran explicados en el texto",2019,Biology_Sociology,14260866.0
291325,study,use,simple linear regression,0.9030401971054748,This study uses simple linear regression analysis to test the hypothesis,2019,Biology_Sociology,15248521.0
291329,evacuation,differ,evacuation,0.9030401971054748,"It is noted that re-evacuation differed from evacuation in terms of timing, scale and other parameters",2019,Biology_Sociology,15757674.0
291334,chapter,test claim empirically use,data,0.932597734620581,"This chapter tests this claim empirically using data on 18,534 bicyclist fatalities from the Fatality Analysis Reporting System and a differences-in-differences approach, in a negative binomial model, to identify the effect of minimum distance passing law",2019,Biology_Sociology,16266327.0
291344,criminal cases,involve,adults,0.9256263201643982,"Indeed, there are no such reported criminal cases involving adults",2019,Biology_Sociology,17224259.0
291346,findings,indicate,participants,0.8858799705138259,The findings indicated that most of the participants (85,2019,Biology_Sociology,17578484.0
291347,demand response,reduce,power,0.9030401971054748,"Furthermore, comparisons of case 4 and case 3 show that demand response can reduce the power cost of case 4 by 21",2019,Biology_Sociology,18402438.0
291348,En nuestro,con en,la sociedad,0.8525643398286977,"En nuestro compromiso como enfermeras con la sociedad, ponemos en marcha este gran proyecto, con el objetivo de frenar la incidencia de cancer en nuestra comunidad y pais",2019,Biology_Sociology,18748279.0
291351,health,reverberate,life cycle,0.9030401971054748,We investigate when and how health shocks reverberate across the life cycle and down to descendants by examining the impact of war wounds on the socioeconomic status and older age mortality of US Civil War (1861-5) veterans and of their adult children,2019,Biology_Sociology,19491516.0
291353,breeding,lead,July 2015,0.9384538855187416,These provinces could have been the source of breeding that led to the July 2015 swarms,2019,Biology_Sociology,20213690.0
291356,data,comprise,violations,0.9186941924198344,"The data part D comprised of 887,128 violations, that were occurred in Kuwait",2019,Biology_Sociology,20745173.0
291359,governorate,have,probability,0.9366116945786112,The applied model confirmed that Al Ahmadi governorate had a higher probability,2019,Biology_Sociology,20745173.0
291361,age group,time of,years,0.8960000276565552,7%) fell within the age group of 20-49 years,2019,Biology_Sociology,21112251.0
291362,case studies,include,book,0.9186941924198344,"Lastly, several real case studies are included in the book",2019,Biology_Sociology,21201737.0
291364,cities,recover,populations,0.8211012035398638,"On average, cities recovered their pre-Plague populations within two centuries",2019,Biology_Sociology,21547240.0
291366,Americans,support,terrorist attacks,0.9176096793265422,Health-care providers need to understand that few Arab Americans support terrorist attacks and that it is inappropriate to pigeonhole people by their cultural background,2019,Biology_Sociology,22458777.0
291367,spectra,characterize,age groups,0.6601056213946704,Their age spectra are characterized by two prominent age groups of 1,2019,Biology_Sociology,22933496.0
291368,figure,rise,cases,0.9180804252893388,"5; this figure would rise to 1810 cases in 2030, and to more than 4400 cases in 2050, according to the BAU scenario",2019,Biology_Sociology,23286849.0
291369,segments,denisovan,ancestry,0.9285266528034064,"Contrary to published reports, our preliminary analyses suggested that DNA segments in modern Africans have Denisovan ancestry",2019,Biology_Sociology,23374107.0
291384,line,regulate,world,0.8872966301155124,This is the line that regulates what can and cannot appear in the world,2019,Biology_Sociology,27856257.0
291390,colonies,isolate from,provinces,0.9919999837875366,"In total, 191 Scedosporium colonies were isolated from four provinces",2019,Biology_Sociology,29375160.0
291392,individuals,record,study area,0.913197594301744,A total of 4992 individuals were observed and recorded in the entire study area,2019,Biology_Sociology,29718694.0
291395,discourse,relate,outbreak,0.9320111551042786,"The chapter will argue that epidemic responses must be flexible and need to systematically document popular discourse(s), rumours, codes, practices, knowledge and opinions related to the outbreak event",2019,Biology_Sociology,29905661.0
291396,postharvest,add,cold chain,0.9030401971054748,"It is estimated that postharvest emissions added from cold chain operation are larger than food loss emissions avoided, by 10% in the North American scenario and 2% in the European scenario",2019,Biology_Sociology,31022921.0
291399,investigation,provide,valuable information,0.9111779447320654,The present investigation provided valuable information for genderdetermination through fingerprint patterns,2019,Biology_Sociology,31113115.0
291400,result,use,forensic investigation,0.9256263201643982,The result of the study may be used to narrow down the suspects through gender and ease the forensic investigation,2019,Biology_Sociology,31113115.0
